Category,German,Article,English,Example (DE)
Numbers & Time,fünf,,five,Ich habe fünf Bücher.
Numbers & Time,sechs,,six,Ich habe sechs Bücher.
Numbers & Time,sieben,,seven,Ich habe sieben Bücher.
Numbers & Time,acht,,eight,Ich habe acht Bücher.
Numbers & Time,neun,,nine,Ich habe neun Bücher.
Numbers & Time,zehn,,ten,Das kostet zehn Euro.
Numbers & Time,elf,,eleven,Das kostet elf Euro.
Numbers & Time,zwölf,,twelve,Das kostet zwölf Euro.
Numbers & Time,dreizehn,,thirteen,Das kostet dreizehn Euro.
Numbers & Time,vierzehn,,fourteen,Das kostet vierzehn Euro.
Numbers & Time,fünfzehn,,fifteen,Das kostet fünfzehn Euro.
Numbers & Time,sechzehn,,sixteen,Das kostet sechzehn Euro.
Numbers & Time,siebzehn,,seventeen,Das kostet siebzehn Euro.
Numbers & Time,achtzehn,,eighteen,Das kostet achtzehn Euro.
Numbers & Time,neunzehn,,nineteen,Das kostet neunzehn Euro.
Numbers & Time,zwanzig,,twenty,Das kostet zwanzig Euro.
Numbers & Time,dreißig,,thirty,Das kostet dreißig Euro.
Numbers & Time,vierzig,,forty,Das kostet vierzig Euro.
Numbers & Time,fünfzig,,fifty,Das kostet fünfzig Euro.
Numbers & Time,sechzig,,sixty,Das kostet sechzig Euro.
Numbers & Time,siebzig,,seventy,Das kostet siebzig Euro.
Numbers & Time,achtzig,,eighty,Das kostet achtzig Euro.
Numbers & Time,neunzig,,ninety,Das kostet neunzig Euro.
Numbers & Time,hundert,,hundred,Das kostet hundert Euro.
Numbers & Time,tausend,,thousand,Das kostet tausend Euro.
Numbers & Time,die Uhr,die,o'clock / clock,Es ist die Uhr Uhr.
Numbers & Time,die Stunde,die,hour,Es ist die Stunde Uhr.
Numbers & Time,die Minute,die,minute,Es ist die Minute Uhr.
Numbers & Time,die Sekunde,die,second,Es ist die Sekunde Uhr.
Numbers & Time,heute,,today,Es ist heute Uhr.
Numbers & Time,gestern,,yesterday,Es ist gestern Uhr.
Numbers & Time,morgen,,tomorrow,Es ist morgen Uhr.
Numbers & Time,jetzt,,now,Es ist jetzt Uhr.
Numbers & Time,früh,,early,Es ist früh Uhr.
Numbers & Time,spät,,late,Es ist spät Uhr.
Numbers & Time,pünktlich,,on time,Es ist pünktlich Uhr.
Numbers & Time,Montag,,Monday,Es ist Montag Uhr.
Numbers & Time,Dienstag,,Tuesday,Es ist Dienstag Uhr.
Numbers & Time,Mittwoch,,Wednesday,Es ist Mittwoch Uhr.
Numbers & Time,Donnerstag,,Thursday,Es ist Donnerstag Uhr.
Numbers & Time,Freitag,,Friday,Es ist Freitag Uhr.
Numbers & Time,Samstag,,Saturday,Es ist Samstag Uhr.
Numbers & Time,Sonntag,,Sunday,Es ist Sonntag Uhr.
Numbers & Time,der Morgen,der,morning,Es ist der Morgen Uhr.
Numbers & Time,der Vormittag,der,morning (late),Es ist der Vormittag Uhr.
Numbers & Time,der Mittag,der,noon,Es ist der Mittag Uhr.
Numbers & Time,der Nachmittag,der,afternoon,Es ist der Nachmittag Uhr.
Numbers & Time,der Abend,der,evening,Es ist der Abend Uhr.
Numbers & Time,die Nacht,die,night,Es ist die Nacht Uhr.
Numbers & Time,Januar,,January,Es ist Januar Uhr.
Numbers & Time,Februar,,February,Es ist Februar Uhr.
Numbers & Time,März,,March,Es ist März Uhr.
Numbers & Time,April,,April,Es ist April Uhr.
Numbers & Time,Mai,,May,Es ist Mai Uhr.
Numbers & Time,Juni,,June,Es ist Juni Uhr.
Numbers & Time,Juli,,July,Es ist Juli Uhr.
Numbers & Time,August,,August,Es ist August Uhr.
Numbers & Time,September,,September,Es ist September Uhr.
Numbers & Time,Oktober,,October,Es ist Oktober Uhr.
Numbers & Time,November,,November,Es ist November Uhr.
Numbers & Time,Dezember,,December,Es ist Dezember Uhr.
Days & Weather,das Wetter,das,weather,Heute ist das Wetter.
Days & Weather,die Sonne,die,sun,Heute ist die Sonne.
Days & Weather,der Regen,der,rain,Heute ist der Regen.
Days & Weather,der Wind,der,wind,Heute ist der Wind.
Days & Weather,der Schnee,der,snow,Heute ist der Schnee.
Days & Weather,die Wolke,die,cloud,Heute ist die Wolke.
Days & Weather,heiß,,hot,Heute ist heiß.
Days & Weather,kalt,,cold,Heute ist kalt.
Days & Weather,warm,,warm,Heute ist warm.
Days & Weather,kühl,,cool,Heute ist kühl.
Days & Weather,trocken,,dry,Heute ist trocken.
Days & Weather,nass,,wet,Heute ist nass.
Days & Weather,der Frühling,der,spring,Heute ist der Frühling.
Days & Weather,der Sommer,der,summer,Heute ist der Sommer.
Days & Weather,der Herbst,der,autumn,Heute ist der Herbst.
Days & Weather,der Winter,der,winter,Heute ist der Winter.
Days & Weather,grad,,degree,Heute ist grad.
Days & Weather,das Gewitter,das,thunderstorm,Heute ist das Gewitter.
Days & Weather,das Eis,das,ice,Heute ist das Eis.
Days & Weather,die Temperatur,die,temperature,Heute ist die Temperatur.
Days & Weather,das Klima,das,climate,Heute ist das Klima.
Travel & Transport,das Auto,das,car,Ich nehme das Auto.
Travel & Transport,der Zug,der,train,Ich nehme der Zug.
Travel & Transport,der Bus,der,bus,Ich nehme der Bus.
Travel & Transport,die Straßenbahn,die,tram,Ich nehme die Straßenbahn.
Travel & Transport,das Fahrrad,das,bicycle,Ich nehme das Fahrrad.
Travel & Transport,das Flugzeug,das,airplane,Ich nehme das Flugzeug.
Travel & Transport,der Flughafen,der,airport,Ich nehme der Flughafen.
Travel & Transport,der Bahnhof,der,train station,Ich nehme der Bahnhof.
Travel & Transport,die Haltestelle,die,stop (bus/tram),Ich nehme die Haltestelle.
Travel & Transport,die Fahrkarte,die,ticket,Ich nehme die Fahrkarte.
Travel & Transport,das Ticket,das,ticket,Ich nehme das Ticket.
Travel & Transport,der Fahrplan,der,timetable,Ich nehme der Fahrplan.
Travel & Transport,abfahren,,to depart,Wir müssen abfahren.
Travel & Transport,ankommen,,to arrive,Wir müssen ankommen.
Travel & Transport,einsteigen,,to get in,Wir müssen einsteigen.
Travel & Transport,aussteigen,,to get out,Wir müssen aussteigen.
Travel & Transport,umsteigen,,to change (trains),Wir müssen umsteigen.
Travel & Transport,fahren,,to drive/ride,Wir müssen fahren.
Travel & Transport,fliegen,,to fly,Wir müssen fliegen.
Travel & Transport,laufen,,to walk/run,Wir müssen laufen.
Travel & Transport,die Richtung,die,direction,Ich nehme die Richtung.
Travel & Transport,rechts,,right,Wir müssen rechts.
Travel & Transport,links,,left,Wir müssen links.
Travel & Transport,geradeaus,,straight ahead,Wir müssen geradeaus.
Travel & Transport,zurück,,back,Wir müssen zurück.
Travel & Transport,der Weg,der,way,Ich nehme der Weg.
Travel & Transport,die Straße,die,street,Ich nehme die Straße.
Travel & Transport,die Kreuzung,die,crossroad,Ich nehme die Kreuzung.
Travel & Transport,die Ampel,die,traffic light,Ich nehme die Ampel.
Travel & Transport,die Brücke,die,bridge,Ich nehme die Brücke.
Travel & Transport,der Verkehr,der,traffic,Ich nehme der Verkehr.
Travel & Transport,die Reise,die,trip,Ich nehme die Reise.
Travel & Transport,das Gepäck,das,luggage,Ich nehme das Gepäck.
Travel & Transport,der Koffer,der,suitcase,Ich nehme der Koffer.
Travel & Transport,die Tasche,die,bag,Ich nehme die Tasche.
Travel & Transport,der Pass,der,passport,Ich nehme der Pass.
Travel & Transport,die Verspätung,die,delay,Ich nehme die Verspätung.
Verbs (basic),sein,,to be,Ich möchte sein.
Verbs (basic),haben,,to have,Ich möchte haben.
Verbs (basic),werden,,to become,Ich möchte werden.
Verbs (basic),machen,,to make/do,Ich möchte machen.
Verbs (basic),gehen,,to go,Ich möchte gehen.
Verbs (basic),kommen,,to come,Ich möchte kommen.
Verbs (basic),sehen,,to see,Ich möchte sehen.
Verbs (basic),geben,,to give,Ich möchte geben.
Verbs (basic),nehmen,,to take,Ich möchte nehmen.
Verbs (basic),finden,,to find,Ich möchte finden.
Verbs (basic),denken,,to think,Ich möchte denken.
Verbs (basic),wissen,,to know,Ich möchte wissen.
Verbs (basic),sagen,,to say,Ich möchte sagen.
Verbs (basic),sprechen,,to speak,Ich möchte sprechen.
Verbs (basic),fragen,,to ask,Ich möchte fragen.
Verbs (basic),antworten,,to answer,Ich möchte antworten.
Verbs (basic),arbeiten,,to work,Ich möchte arbeiten.
Verbs (basic),lernen,,to learn,Ich möchte lernen.
Verbs (basic),verstehen,,to understand,Ich möchte verstehen.
Verbs (basic),brauchen,,to need,Ich möchte brauchen.
Verbs (basic),mögen,,to like,Ich möchte mögen.
Verbs (basic),lieben,,to love,Ich möchte lieben.
Verbs (basic),spielen,,to play,Ich möchte spielen.
Verbs (basic),essen,,to eat,Ich möchte essen.
Verbs (basic),trinken,,to drink,Ich möchte trinken.
Verbs (basic),helfen,,to help,Ich möchte helfen.
Verbs (basic),bleiben,,to stay,Ich möchte bleiben.
Verbs (basic),stehen,,to stand,Ich möchte stehen.
Verbs (basic),sitzen,,to sit,Ich möchte sitzen.
Verbs (basic),liegen,,to lie,Ich möchte liegen.
Verbs (basic),schreiben,,to write,Ich möchte schreiben.
Verbs (basic),lesen,,to read,Ich möchte lesen.
Verbs (basic),fahren,,to drive/ride,Ich möchte fahren.
Verbs (basic),laufen,,to run,Ich möchte laufen.
Verbs (basic),schlafen,,to sleep,Ich möchte schlafen.
Verbs (basic),öffnen,,to open,Ich möchte öffnen.
Verbs (basic),schließen,,to close,Ich möchte schließen.
Verbs (basic),beginnen,,to begin,Ich möchte beginnen.
Verbs (basic),enden,,to end,Ich möchte enden.
Verbs (basic),kaufen,,to buy,Ich möchte kaufen.
Verbs (basic),verkaufen,,to sell,Ich möchte verkaufen.
Verbs (basic),bezahlen,,to pay,Ich möchte bezahlen.
Verbs (basic),kosten,,to cost,Ich möchte kosten.
Verbs (basic),zeigen,,to show,Ich möchte zeigen.
Verbs (basic),arbeiten,,to work,Ich möchte arbeiten.
Verbs (basic),wohnen,,to live/reside,Ich möchte wohnen.
Verbs (basic),glauben,,to believe,Ich möchte glauben.
Verbs (basic),brauchen,,to need,Ich möchte brauchen.
Verbs (basic),hoffen,,to hope,Ich möchte hoffen.
Verbs (basic),danken,,to thank,Ich möchte danken.
Verbs (basic),reisen,,to travel,Ich möchte reisen.
Verbs (basic),schwimmen,,to swim,Ich möchte schwimmen.
Verbs (basic),tanzen,,to dance,Ich möchte tanzen.
Verbs (basic),beginnen,,to start,Ich möchte beginnen.
Adjectives (common),gut,,good,Das ist gut.
Adjectives (common),schlecht,,bad,Das ist schlecht.
Adjectives (common),klein,,small,Das ist klein.
Adjectives (common),groß,,big,Das ist groß.
Adjectives (common),neu,,new,Das ist neu.
Adjectives (common),alt,,old,Das ist alt.
Adjectives (common),jung,,young,Das ist jung.
Adjectives (common),schön,,beautiful,Das ist schön.
Adjectives (common),hässlich,,ugly,Das ist hässlich.
Adjectives (common),billig,,cheap,Das ist billig.
Adjectives (common),teuer,,expensive,Das ist teuer.
Adjectives (common),langsam,,slow,Das ist langsam.
Adjectives (common),schnell,,fast,Das ist schnell.
Adjectives (common),hell,,bright,Das ist hell.
Adjectives (common),dunkel,,dark,Das ist dunkel.
Adjectives (common),warm,,warm,Das ist warm.
Adjectives (common),kalt,,cold,Das ist kalt.
Adjectives (common),freundlich,,friendly,Das ist freundlich.
Adjectives (common),fremd,,strange/foreign,Das ist fremd.
Adjectives (common),leicht,,easy/light,Das ist leicht.
Adjectives (common),schwer,,difficult/heavy,Das ist schwer.
Adjectives (common),wichtig,,important,Das ist wichtig.
Adjectives (common),müde,,tired,Das ist müde.
Adjectives (common),hungrig,,hungry,Das ist hungrig.
Adjectives (common),durstig,,thirsty,Das ist durstig.
Adjectives (common),frei,,free,Das ist frei.
Adjectives (common),besetzt,,occupied,Das ist besetzt.
Adjectives (common),richtig,,correct,Das ist richtig.
Adjectives (common),falsch,,wrong,Das ist falsch.
Adjectives (common),glücklich,,happy,Das ist glücklich.
Adjectives (common),traurig,,sad,Das ist traurig.
Adjectives (common),ruhig,,quiet,Das ist ruhig.
Adjectives (common),laut,,loud,Das ist laut.
Adjectives (common),sauber,,clean,Das ist sauber.
Adjectives (common),schmutzig,,dirty,Das ist schmutzig.
Adjectives (common),gesund,,healthy,Das ist gesund.
Adjectives (common),krank,,ill,Das ist krank.
Adjectives (common),geöffnet,,open,Das ist geöffnet.
Adjectives (common),geschlossen,,closed,Das ist geschlossen.
Adjectives (common),spät,,late,Das ist spät.
Adjectives (common),pünktlich,,punctual,Das ist pünktlich.
Pronouns & Prepositions,ich,,I,Ich lerne Deutsch.
Pronouns & Prepositions,du,,you (singular informal),Du sprichst Englisch.
Pronouns & Prepositions,er,,he,Er arbeitet hier.
Pronouns & Prepositions,sie,,she,Sie kommt aus Berlin.
Pronouns & Prepositions,es,,it,Es ist kalt.
Pronouns & Prepositions,wir,,we,Wir gehen ins Kino.
Pronouns & Prepositions,ihr,,you (plural informal),Ihr seid müde.
Pronouns & Prepositions,Sie,,you (formal),Sie haben einen Termin.
Pronouns & Prepositions,mich,,me,Mich ist wichtig.
Pronouns & Prepositions,dich,,you (accusative),Dich ist wichtig.
Pronouns & Prepositions,mein,,my,Mein ist wichtig.
Pronouns & Prepositions,dein,,your (informal),Dein ist wichtig.
Pronouns & Prepositions,sein,,his/its,Sein ist wichtig.
Pronouns & Prepositions,ihr,,her/their,Ihr seid müde.
Pronouns & Prepositions,unser,,our,Unser ist wichtig.
Pronouns & Prepositions,dies,,this,Dies ist wichtig.
Pronouns & Prepositions,das,das,that/this,Das ist wichtig.
Pronouns & Prepositions,ein,,a/an,Ein ist wichtig.
Pronouns & Prepositions,kein,,no/none,Kein ist wichtig.
Pronouns & Prepositions,alle,,all,Alle ist wichtig.
Pronouns & Prepositions,jeder,,every,Jeder ist wichtig.
Pronouns & Prepositions,man,,one/people,Man ist wichtig.
Pronouns & Prepositions,wer,,who,Wer ist wichtig.
Pronouns & Prepositions,was,,what,Was ist wichtig.
Pronouns & Prepositions,wo,,where,Wo ist wichtig.
Pronouns & Prepositions,woher,,from where,Woher ist wichtig.
Pronouns & Prepositions,wohin,,to where,Wohin ist wichtig.
Pronouns & Prepositions,warum,,why,Warum ist wichtig.
Pronouns & Prepositions,wie,,how,Wie ist wichtig.
Pronouns & Prepositions,wann,,when,Wann ist wichtig.
Pronouns & Prepositions,auf,,on,Auf ist wichtig.
Pronouns & Prepositions,unter,,under,Unter ist wichtig.
Pronouns & Prepositions,neben,,next to,Neben ist wichtig.
Pronouns & Prepositions,vor,,in front of,Vor ist wichtig.
Pronouns & Prepositions,hinter,,behind,Hinter ist wichtig.
Pronouns & Prepositions,zwischen,,between,Zwischen ist wichtig.
Pronouns & Prepositions,in,,in/into,In ist wichtig.
Pronouns & Prepositions,an,,at/on (vertical),An ist wichtig.
Pronouns & Prepositions,über,,over/about,Über ist wichtig.
Pronouns & Prepositions,aus,,out of/from,Aus ist wichtig.
Pronouns & Prepositions,mit,,with,Mit ist wichtig.
Pronouns & Prepositions,ohne,,without,Ohne ist wichtig.
Pronouns & Prepositions,für,,for,Für ist wichtig.
Pronouns & Prepositions,gegen,,against,Gegen ist wichtig.
Pronouns & Prepositions,um,,around/at (time),Um ist wichtig.
Pronouns & Prepositions,bis,,until,Bis ist wichtig.
Pronouns & Prepositions,nach,,after/to,Nach ist wichtig.
Pronouns & Prepositions,seit,,since,Seit ist wichtig.
Pronouns & Prepositions,von,,from/of,Von ist wichtig.
Connectors,und,,and,"Ich esse Brot, und trinke ich Milch."
Connectors,oder,,or,"Ich esse Brot, oder trinke ich Milch."
Connectors,aber,,but,"Ich esse Brot, aber trinke ich Milch."
Connectors,denn,,because,"Ich esse Brot, denn trinke ich Milch."
Connectors,weil,,because,"Ich esse Brot, weil trinke ich Milch."
Connectors,dass,,that,"Ich esse Brot, dass trinke ich Milch."
Connectors,wenn,,if/when,"Ich esse Brot, wenn trinke ich Milch."
Connectors,als,,when (past),"Ich esse Brot, als trinke ich Milch."
Connectors,ob,,whether,"Ich esse Brot, ob trinke ich Milch."
Connectors,trotzdem,,nevertheless,"Ich esse Brot, trotzdem trinke ich Milch."
Connectors,deshalb,,therefore,"Ich esse Brot, deshalb trinke ich Milch."
Connectors,also,,so/therefore,"Ich esse Brot, also trinke ich Milch."
Connectors,dann,,then,"Ich esse Brot, dann trinke ich Milch."
Connectors,doch,,yet/however,"Ich esse Brot, doch trinke ich Milch."
Connectors,sondern,,but rather,"Ich esse Brot, sondern trinke ich Milch."
Verbs (basic),hören,,to hear,Ich kann Musik hören.
Verbs (basic),schauen,,to look/watch,Wir schauen einen Film.
Verbs (basic),träumen,,to dream,Ich träume von Urlaub.
Verbs (basic),frühstücken,,to have breakfast,Wir frühstücken um acht Uhr.
Verbs (basic),warten,,to wait,Sie wartet auf den Bus.
Verbs (basic),fühlen,,to feel,Ich fühle mich gut.
Verbs (basic),schicken,,to send,Er schickt eine E‑Mail.
Verbs (basic),bekommen,,to get/receive,Ich bekomme einen Brief.
Verbs (basic),erzählen,,to tell,Er erzählt eine Geschichte.
Verbs (basic),erklären,,to explain,Die Lehrerin erklärt die Übung.
Verbs (basic),tragen,,to wear/carry,Ich trage einen Rucksack.
Verbs (basic),schneiden,,to cut,Sie schneidet das Brot.
Verbs (basic),sparen,,to save (money),Ich spare für ein Auto.
Verbs (basic),zahlen,,to pay,Wir zahlen die Rechnung.
Verbs (basic),putzen,,to clean,Ich putze das Bad.
Verbs (basic),vorbereiten,,to prepare,Wir bereiten das Essen vor.
Verbs (basic),probieren,,to try,Möchtest du den Kuchen probieren?
Verbs (basic),legen,,to lay/put,Ich lege das Buch auf den Tisch.
Verbs (basic),stellen,,to place/put (upright),Er stellt die Flasche auf den Tisch.
Verbs (basic),waschen,,to wash,Ich wasche meine Hände.
Verbs (basic),leben,,to live (be alive),Ich lebe in Deutschland.
Verbs (basic),heißen,,to be called,Ich heiße Anna.
Verbs (basic),dürfen,,may/to be allowed,Darf ich hier parken?
Verbs (basic),können,,can,Ich kann Deutsch sprechen.
Verbs (basic),müssen,,must/have to,Ich muss lernen.
Verbs (basic),sollen,,should,Du sollst mehr schlafen.
Verbs (basic),wollen,,to want,Ich will einen Kaffee.
